year,month,tourist_arrivals,hotel_occupancy,tourism_revenue,exchange_rate,inflation,source_market,region
2018,1,125000,72.5,15000000,153.5,2.1,India,South_Asia
2018,2,118000,68.3,14200000,154.2,2.3,India,South_Asia
2018,3,132000,75.8,16500000,155.0,2.4,India,South_Asia
2018,4,98000,62.1,12000000,156.5,2.6,India,South_Asia
2018,5,85000,55.4,10500000,157.8,2.5,India,South_Asia
2018,6,78000,52.0,9800000,158.2,2.7,India,South_Asia
2018,7,105000,65.2,13200000,159.5,2.8,United_Kingdom,Europe
2018,8,115000,70.1,14500000,160.2,2.9,Germany,Europe
2018,9,120000,71.5,15200000,161.0,3.0,France,Europe
2018,10,138000,78.2,17500000,162.5,3.1,China,East_Asia
2018,11,145000,82.5,18500000,163.0,3.2,China,East_Asia
2018,12,165000,88.0,21000000,164.5,3.3,Russia,Europe
2019,1,142000,79.5,18000000,168.5,3.5,India,South_Asia
2019,2,135000,76.2,17200000,170.2,3.8,India,South_Asia
2019,3,155000,84.0,19800000,172.0,4.0,United_Kingdom,Europe
2019,4,60000,42.5,7500000,175.5,4.5,India,South_Asia
2019,5,45000,35.0,5500000,178.2,5.2,India,South_Asia
2019,6,52000,38.5,6200000,180.5,5.5,India,South_Asia
2019,7,75000,55.8,9200000,182.0,5.8,Germany,Europe
2019,8,88000,62.0,10800000,183.5,5.5,United_Kingdom,Europe
2019,9,95000,66.5,12000000,185.0,5.2,France,Europe
2019,10,105000,70.2,13500000,186.5,4.8,China,East_Asia
2019,11,118000,75.8,15200000,188.0,4.5,China,East_Asia
2019,12,125000,78.5,16000000,189.5,4.2,Russia,Europe
2020,1,115000,72.0,14800000,182.0,4.0,India,South_Asia
2020,2,105000,68.5,13500000,183.5,3.8,India,South_Asia
2020,3,25000,22.5,3200000,185.0,4.2,India,South_Asia
2020,4,2000,5.0,250000,188.5,5.5,India,South_Asia
2020,5,1500,3.5,180000,190.2,6.2,India,South_Asia
2020,6,3500,8.5,420000,192.0,6.8,India,South_Asia
2020,7,8500,15.2,1050000,195.5,7.2,United_Kingdom,Europe
2020,8,12000,22.5,1480000,198.0,7.5,Germany,Europe
2020,9,18000,28.5,2200000,200.5,7.0,France,Europe
2020,10,25000,35.2,3100000,202.0,6.5,China,East_Asia
2020,11,32000,42.8,4000000,205.5,6.0,China,East_Asia
2020,12,45000,52.5,5800000,208.0,5.5,Russia,Europe
2021,1,38000,45.5,4850000,200.0,5.2,India,South_Asia
2021,2,42000,50.2,5400000,202.0,5.0,India,South_Asia
2021,3,55000,58.5,7000000,205.0,4.8,India,South_Asia
2021,4,48000,52.8,6100000,208.5,5.5,India,South_Asia
2021,5,52000,55.5,6600000,212.0,6.0,India,South_Asia
2021,6,58000,60.2,7400000,215.5,6.5,Germany,Europe
2021,7,72000,68.5,9200000,218.0,7.0,United_Kingdom,Europe
2021,8,85000,74.2,10800000,220.5,7.2,Germany,Europe
2021,9,92000,78.0,11800000,222.0,7.0,France,Europe
2021,10,98000,80.5,12500000,225.0,6.8,China,East_Asia
2021,11,105000,82.8,13500000,228.5,6.5,China,East_Asia
2021,12,118000,86.0,15200000,232.0,6.2,Russia,Europe
